"ensembl_gene_id","entrezgene_id","mgi_symbol","gene_biotype","chromosome_name","start_position","end_position","p.overall","q.overall","post.hoc.A.By.p","post.hoc.peak.By.p","post.hoc.M.By.p","post.hoc.A.By.q","post.hoc.peak.By.q","post.hoc.M.By.q","A1","A2","delta.A","p.delta.A","q.delta.A","peak1","peak2","delta.peak","p.delta.peak","q.delta.peak","M1","M2","delta.M","p.delta.M","q.delta.M","P"
"ENSMUSG00000033774",226304,"Npbwr1","protein_coding","1",5983926,5987617,0.002,0.005,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.153,0.118,-0.035,0.449,0.999,16.623,11.096,-5.526,0.002,0.007,8.668,8.639,-0.029,0.374,0.671,24
"ENSMUSG00000025911",76187,"Adhfe1","protein_coding","1",9618173,9650898,0.072,0.096,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.082,0.088,0.006,0.875,0.999,12.977,9.272,-3.705,0.037,0.05,9.038,9.079,0.041,0.132,0.416,24
"ENSMUSG00000025912",17864,"Mybl1","protein_coding","1",9737640,9770434,0.006,0.015,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.063,0.081,0.018,0.536,0.999,10.359,4.161,-6.199,0.006,0.014,7.781,7.778,-0.003,0.873,0.955,24
"ENSMUSG00000025917",26754,"Cops5","protein_coding","1",10094826,10108393,0.001,0.004,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.089,0.06,-0.029,0.181,0.947,10.071,6.096,-3.974,0.001,0.006,11.212,11.241,0.03,0.054,0.28,24
"ENSMUSG00000048960",109294,"Prex2","protein_coding","1",11063689,11373905,0,0.001,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.28,0.198,-0.082,0.156,0.918,17.543,13.138,-4.405,0,0.002,11.974,11.935,-0.038,0.344,0.641,24
"ENSMUSG00000025937",212442,"Lactb2","protein_coding","1",13693554,13730770,0.092,0.118,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.111,0.07,-0.041,0.232,0.981,4.931,2.091,-2.841,0.088,0.106,8.966,8.937,-0.028,0.242,0.548,24
"ENSMUSG00000025939",66799,"Ube2w","protein_coding","1",16611014,16689713,0.001,0.003,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.104,0.07,-0.034,0.271,0.981,18.015,11.911,-6.104,0.001,0.005,10.55,10.533,-0.017,0.424,0.709,24
"ENSMUSG00000025940",70397,"Tmem70","protein_coding","1",16735431,16748499,0.026,0.042,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.05,0.05,0,0.983,0.999,19.053,13.529,-5.523,0.004,0.012,9.985,10.005,0.02,0.216,0.523,24
"ENSMUSG00000041859",17215,"Mcm3","protein_coding","1",20873192,20890536,0.658,0.673,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.1,0.094,-0.007,0.868,0.999,4.74,3.543,-1.198,0.462,0.479,7.964,7.936,-0.029,0.322,0.62,24
"ENSMUSG00000025931",74229,"Paqr8","protein_coding","1",20960830,21009874,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.218,0.196,-0.022,0.647,0.999,16.834,12.011,-4.823,0,0,13.022,12.987,-0.035,0.295,0.595,24
