"ensembl_gene_id_version","ensembl_gene_id","entrezgene_id","mgi_symbol","gene_biotype","chromosome_name","start_position","end_position"
"ENSMUSG00000000001.5","ENSMUSG00000000001",14679,"Gnai3","protein_coding","3",108014596,108053462
"ENSMUSG00000000194.14","ENSMUSG00000000194",277463,"Gpr107","protein_coding","2",31042328,31108787
"ENSMUSG00000000247.12","ENSMUSG00000000247",16870,"Lhx2","protein_coding","2",38229293,38259745
"ENSMUSG00000000305.13","ENSMUSG00000000305",12561,"Cdh4","protein_coding","2",179084224,179541166
"ENSMUSG00000000308.15","ENSMUSG00000000308",12716,"Ckmt1","protein_coding","2",121188195,121194218
"ENSMUSG00000000339.15","ENSMUSG00000000339",66368,"Rtca","protein_coding","3",116282612,116301857
"ENSMUSG00000000340.11","ENSMUSG00000000340",13171,"Dbt","protein_coding","3",116306719,116343630
"ENSMUSG00000000359.4","ENSMUSG00000000359",19700,"Rem1","protein_coding","2",152468871,152477118
"ENSMUSG00000000392.18","ENSMUSG00000000392",14089,"Fap","protein_coding","2",62331287,62404419
"ENSMUSG00000000544.15","ENSMUSG00000000544",59290,"Gpa33","protein_coding","1",165957807,165994079
"ENSMUSG00000000561.15","ENSMUSG00000000561",70465,"Wdr77","protein_coding","3",105866685,105877353
"ENSMUSG00000000562.6","ENSMUSG00000000562",11542,"Adora3","protein_coding","3",105778174,105816242
"ENSMUSG00000000562.6","ENSMUSG00000000562",69296,"Adora3","protein_coding","3",105778174,105816242
"ENSMUSG00000000563.18","ENSMUSG00000000563",11950,"Atp5pb","protein_coding","3",105850014,105867415
"ENSMUSG00000000794.10","ENSMUSG00000000794",140493,"Kcnn3","protein_coding","3",89427471,89582439
"ENSMUSG00000000817.11","ENSMUSG00000000817",14103,"Fasl","protein_coding","1",161608258,161616064
"ENSMUSG00000000823.17","ENSMUSG00000000823",269401,"Zfp512b","protein_coding","2",181223896,181234596
"ENSMUSG00000000826.17","ENSMUSG00000000826",13002,"Dnajc5","protein_coding","2",181162278,181196926
"ENSMUSG00000000827.19","ENSMUSG00000000827",66314,"Tpd52l2","protein_coding","2",181138935,181159759
"ENSMUSG00000000876.12","ENSMUSG00000000876",59038,"Pxmp4","protein_coding","2",154427678,154445628
"ENSMUSG00000000889.9","ENSMUSG00000000889",13166,"Dbh","protein_coding","2",27055245,27073212
"ENSMUSG00000001016.13","ENSMUSG00000001016",67781,"Ilf2","protein_coding","3",90383433,90395686
"ENSMUSG00000001017.16","ENSMUSG00000001017",66511,"Chtop","protein_coding","3",90406263,90416805
"ENSMUSG00000001018.16","ENSMUSG00000001018",20615,"Snapin","protein_coding","3",90395333,90398340
"ENSMUSG00000001021.14","ENSMUSG00000001021",20197,"S100a3","protein_coding","3",90491966,90510009
"ENSMUSG00000001023.11","ENSMUSG00000001023",20199,"S100a5","protein_coding","3",90515830,90519087
"ENSMUSG00000001025.9","ENSMUSG00000001025",20200,"S100a6","protein_coding","3",90520189,90531488
"ENSMUSG00000001052.16","ENSMUSG00000001052",99683,"Sec24b","protein_coding","3",129776408,129855202
"ENSMUSG00000001138.14","ENSMUSG00000001138",94218,"Cnnm3","protein_coding","1",36550948,36567318
"ENSMUSG00000001143.14","ENSMUSG00000001143",214895,"Lman2l","protein_coding","1",36458952,36484352
"ENSMUSG00000001305.6","ENSMUSG00000001305",67223,"Rrp15","protein_coding","1",186453175,186481555
"ENSMUSG00000001403.14","ENSMUSG00000001403",68612,"Ube2c","protein_coding","2",164611818,164620742
"ENSMUSG00000001415.11","ENSMUSG00000001415",229512,"Smg5","protein_coding","3",88243567,88269645
"ENSMUSG00000001416.14","ENSMUSG00000001416",12462,"Cct3","protein_coding","3",88204423,88229074
"ENSMUSG00000001418.14","ENSMUSG00000001418",56700,"Glmp","protein_coding","3",88232330,88238620
"ENSMUSG00000001419.18","ENSMUSG00000001419",17261,"Mef2d","protein_coding","3",88049679,88079393
