"ensembl_gene_id","entrezgene_id","mgi_symbol","gene_biotype","chromosome_name","start_position","end_position","p.overall","q.overall","post.hoc.A.By.p","post.hoc.peak.By.p","post.hoc.M.By.p","post.hoc.A.By.q","post.hoc.peak.By.q","post.hoc.M.By.q","A1","A2","delta.A","p.delta.A","q.delta.A","peak1","peak2","delta.peak","p.delta.peak","q.delta.peak","M1","M2","delta.M","p.delta.M","q.delta.M","P"
"ENSMUSG00000033774",226304,"Npbwr1","protein_coding","1",5983926,5987617,0.001,0.005,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.165,0.127,-0.037,0.457,0.997,16.683,11.127,-5.556,0.002,0.006,8.558,8.525,-0.033,0.35,0.655,24
"ENSMUSG00000025911",76187,"Adhfe1","protein_coding","1",9618173,9650898,0.076,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.084,0.092,0.008,0.841,0.997,13.036,9.337,-3.699,0.035,0.047,8.954,8.994,0.041,0.148,0.444,24
"ENSMUSG00000025912",17864,"Mybl1","protein_coding","1",9737640,9770434,0.008,0.017,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.067,0.087,0.021,0.521,0.997,10.339,4.186,-6.153,0.007,0.015,7.588,7.583,-0.006,0.806,0.936,24
"ENSMUSG00000025917",26754,"Cops5","protein_coding","1",10094826,10108393,0.002,0.005,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.088,0.06,-0.028,0.193,0.997,10.061,6.196,-3.864,0.002,0.007,11.195,11.223,0.028,0.07,0.313,24
"ENSMUSG00000048960",109294,"Prex2","protein_coding","1",11063689,11373905,0,0.001,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.283,0.201,-0.081,0.161,0.959,17.577,13.154,-4.423,0,0.002,11.965,11.924,-0.041,0.316,0.63,24
"ENSMUSG00000025937",212442,"Lactb2","protein_coding","1",13693554,13730770,0.079,0.103,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.117,0.072,-0.045,0.209,0.997,4.862,2.069,-2.793,0.093,0.112,8.876,8.844,-0.032,0.201,0.513,24
"ENSMUSG00000025939",66799,"Ube2w","protein_coding","1",16611014,16689713,0.001,0.003,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.107,0.073,-0.034,0.275,0.997,18.097,11.978,-6.119,0.001,0.004,10.522,10.502,-0.02,0.364,0.662,24
"ENSMUSG00000025940",70397,"Tmem70","protein_coding","1",16735431,16748499,0.021,0.036,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.053,0.053,0.001,0.977,0.997,19.19,13.564,-5.626,0.003,0.009,9.942,9.96,0.018,0.271,0.592,24
"ENSMUSG00000041859",17215,"Mcm3","protein_coding","1",20873192,20890536,0.646,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.111,0.103,-0.009,0.846,0.997,4.653,3.548,-1.105,0.501,0.515,7.791,7.758,-0.034,0.294,0.609,24
"ENSMUSG00000025931",74229,"Paqr8","protein_coding","1",20960830,21009874,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.219,0.198,-0.021,0.667,0.997,16.878,12.034,-4.843,0,0,13.02,12.982,-0.038,0.265,0.584,24
"ENSMUSG00000004768",19335,"Rab23","protein_coding","1",33758968,33781645,0.186,0.215,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.034,0.04,0.005,0.736,0.997,15.847,11.822,-4.024,0.022,0.033,10.629,10.626,-0.003,0.811,0.936,24
"ENSMUSG00000042215",213539,"Bag2","protein_coding","1",33784565,33796876,0.001,0.005,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.076,0.103,0.026,0.455,0.997,19.073,12.827,-6.246,0.004,0.012,8.986,9.026,0.04,0.11,0.389,24
