ensembl_gene_id,entrezgene_id,mgi_symbol,gene_biotype,chromosome_name,start_position,end_position,p.overall,q.overall,post.hoc.A.By.p,post.hoc.peak.By.p,post.hoc.M.By.p,post.hoc.A.By.q,post.hoc.peak.By.q,post.hoc.M.By.q,A1,A2,delta.A,p.delta.A,q.delta.A,peak1,peak2,delta.peak,p.delta.peak,q.delta.peak,M1,M2,delta.M,p.delta.M,q.delta.M,P
ENSMUSG00000066797,100503355,Zfp648,protein_coding,1,154076933,154081435,0.759550842,0.770933338,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.107318992,0.079203086,-0.028115906,0.447760806,0.999240093,0.054554652,22.97066401,-1.083890644,0.478891485,0.495500438,6.602791959,6.608280931,0.005488972,0.832114878,0.939186927,24
ENSMUSG00000046470,20672,Sox18,protein_coding,2,181311629,181313433,0.000403156,0.002073488,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.182048405,0.107857701,-0.074190704,0.139220943,0.900604726,0.073635825,18.29304179,-5.780594034,0.005154354,0.012878176,8.926589592,8.883376789,-0.043212803,0.232434143,0.536997434,24
ENSMUSG00000060477,108960,Irak2,protein_coding,6,113615428,113671987,3.04E-05,0.000385216,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.107172474,0.064715209,-0.042457265,0.088932856,0.877012982,0.092488304,17.8420635,-6.250424808,0.0011117,0.005065312,9.901665891,9.9109689,0.009303009,0.605100694,0.82914349,24
ENSMUSG00000057722,16847,Lepr,protein_coding,4,101574601,101672549,0.000428315,0.002155335,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.199576913,0.111638629,-0.087938284,0.194989003,0.962102183,0.094525746,19.73674033,-4.357785412,0.022520329,0.033936227,9.186198317,9.037464959,-0.148733358,0.0025415,0.111101636,24
ENSMUSG00000006281,21745,Tep1,protein_coding,14,51061516,51108017,0.002748051,0.008130597,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.111667928,0.089332699,-0.022335229,0.53772214,0.999240093,0.095487778,21.17068489,-2.924802884,0.035717652,0.048818057,9.329326106,9.254579449,-0.074746657,0.004130217,0.111129173,24
ENSMUSG00000020911,16669,Krt19,protein_coding,11,100031636,100039491,0.300497906,0.328841813,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.12667923,0.116195281,-0.010483949,0.833802204,0.999240093,0.099187238,22.07403397,-2.025153272,0.191794145,0.211827292,7.038482976,6.994969536,-0.043513439,0.21707267,0.523669012,24
ENSMUSG00000027200,214968,Sema6d,protein_coding,2,123931889,124509690,0.004574502,0.011626471,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.12601536,0.068634934,-0.057380426,0.111806623,0.883871913,0.107967118,22.73056908,-1.377398041,0.366237087,0.385140638,12.76704676,12.69179111,-0.075255651,0.00338814,0.111101636,24
ENSMUSG00000001138,94218,Cnnm3,protein_coding,1,36550948,36567318,0.001363051,0.004810996,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.07166494,0.042919995,-0.028744945,0.095519832,0.877012982,0.135312412,19.54196213,-4.593350282,0.000457399,0.002869455,11.26577993,11.25835814,-0.007421795,0.544693179,0.791700321,24
ENSMUSG00000022099,13829,Dmtn,protein_coding,14,70838703,70873488,0.011962022,0.023734622,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.044073277,0.065266443,0.021193167,0.386404311,0.999240093,0.149831068,18.97408837,-5.175742695,0.014943555,0.024775426,13.38937104,13.42384067,0.034469623,0.051465246,0.278194219,24
ENSMUSG00000074637,20674,Sox2,protein_coding,3,34704554,34706610,6.59E-07,3.84E-05,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.12725392,0.062471452,-0.064782468,0.006722244,0.50532611,0.153063682,18.14780374,-6.005259939,0.000598541,0.003356257,12.20301031,12.19498458,-0.008025724,0.637150054,0.845054351,24
ENSMUSG00000055633,68992,Zfp580,protein_coding,7,5054537,5056722,0.042500387,0.063133355,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.058180138,0.054522224,-0.003657914,0.878719818,0.999240093,0.183906309,19.20940093,-4.974505377,0.007386415,0.015636819,9.423458265,9.437703209,0.014244944,0.408315468,0.699022003,24
ENSMUSG00000029603,14357,Dtx1,protein_coding,5,120818267,120849992,0.000102942,0.000854216,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.090856366,0.045029082,-0.045827284,0.025676529,0.632975745,0.185606991,18.45487104,-5.730735947,0.001016471,0.004752381,13.26099202,13.26698695,0.005994934,0.681940456,0.869248618,24
ENSMUSG00000022463,20788,Srebf2,protein_coding,15,82031382,82089580,0.005545332,0.013260118,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.054754353,0.048324788,-0.006429565,0.783649751,0.999240093,0.188324612,19.24358906,-4.944735555,0.008894717,0.01748248,13.9275671,13.89032756,-0.037239538,0.028156063,0.215777047,24
ENSMUSG00000031074,14174,Fgf3,protein_coding,7,144391820,144398173,4.71E-06,0.000120465,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.149947191,0.105470156,-0.044477035,0.451918765,0.999240093,0.191169574,23.1725234,-1.018646171,0.559538555,0.573498412,7.488068882,7.270740596,-0.217328286,8.21E-07,0.002056714,24
ENSMUSG00000034685,217219,Fam171a2,protein_coding,11,102327807,102338508,0.001533627,0.005264751,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.059224729,0.051210517,-0.008014212,0.746875613,0.999240093,0.217477854,16.56709712,-7.650380737,0.008660306,0.017169879,12.01584202,12.05129779,0.03545577,0.051361309,0.278194219,24
ENSMUSG00000017417,72324,Plxdc1,protein_coding,11,97814064,97877270,0.013120696,0.025409941,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.126022696,0.088272303,-0.037750393,0.400018789,0.999240093,0.263476353,18.85593291,-5.407543442,0.011577861,0.020739185,10.57553006,10.61356752,0.038037453,0.239473621,0.545564449,24
