"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensemblid","entrezgene","gene_symbol","gene_biotype","chromosome_name","chromosome_start","chromosome_end"
"1","ENSMUSG00000027857.11",284.177440485556,5.71587004930988,0.339405995900938,16.8408045772361,1.22558702604874e-63,1.94586452125759e-59,"ENSMUSG00000027857",22094,"Tshb","protein_coding","3",102682781,102690034
"2","ENSMUSG00000029831.8",66.0112880856314,2.853770900846,0.265033383342724,10.7675903497624,4.89648647472435e-27,3.88707578795992e-23,"ENSMUSG00000029831",60531,"Npvf","protein_coding","6",50627652,50631419
"3","ENSMUSG00000028003.7",637.985660641128,2.47953007311345,0.240098080659243,10.3271549122981,5.3112576778821e-25,2.81089460505781e-21,"ENSMUSG00000028003",79235,"Lrat","protein_coding","3",82799886,82811280
"4","ENSMUSG00000022129.5",30.3385726938102,1.26478721524136,0.12724191926898,9.94001994395965,2.7877132004233e-23,1.10651306207802e-19,"ENSMUSG00000022129",13190,"Dct","protein_coding","14",118250202,118289656
"5","ENSMUSG00000046180.12",6.10943208029038,3.38800441404235,0.358212109292901,9.45809570963462,3.1360216610526e-21,9.95812318250643e-18,"ENSMUSG00000046180",75352,"Magea13","protein_coding","X",57954720,57965664
"6","ENSMUSG00000041372.11",88.4615794412972,2.08461082269254,0.265480908398844,7.85220615397597,4.08781818319822e-15,1.0817048215773e-11,"ENSMUSG00000041372",330406,"B4galnt3","protein_coding","6",120180034,120271520
"7","ENSMUSG00000007682.9",827.148897131156,1.21191933616432,0.159747608736561,7.58646308229187,3.28755962690103e-14,7.4566548851868e-11,"ENSMUSG00000007682",13371,"Dio2","protein_coding","12",90691326,90705812
"8","ENSMUSG00000055865.9",14.9944989887555,1.67510369991136,0.226150404218421,7.40703385298179,1.29155501775301e-13,2.56325237710806e-10,"ENSMUSG00000055865",329731,"Tafa3","protein_coding","3",104674722,104689156
"9","ENSMUSG00000075217.2",166.727684965849,-0.406362534951785,0.055373764128564,-7.33853913214773,2.15937778079914e-13,3.80938233619421e-10,"ENSMUSG00000075217",228151,"Fads2b","protein_coding","2",85313938,85349368
"10","ENSMUSG00000047298.4",17.1540383393937,1.79410373025897,0.252449720587832,7.10677645465946,1.18784594728117e-12,1.88254177216405e-09,"ENSMUSG00000047298",240595,"Kcnv2","protein_coding","19",27299988,27314579
"11","ENSMUSG00000033965.11",1440.05828849595,-0.400701059391667,0.0564856621050771,-7.09385434212076,1.30427407531678e-12,1.88254177216405e-09,"ENSMUSG00000033965",20502,"Slc16a2","protein_coding","X",102741020,102865589
"12","ENSMUSG00000054204.7",64.7519437960633,0.890357283573353,0.128487010168772,6.92955095152294,4.22178554276258e-12,5.58577408853679e-09,"ENSMUSG00000054204",100294583,"Alkal2","protein_coding","12",30934321,30943853
"13","ENSMUSG00000028415.5",5.18256175027663,5.5245143651467,0.832286870408664,6.63775263261583,3.18501778168519e-11,3.88988671690891e-08,"ENSMUSG00000028415",20731,"Spink4","protein_coding","4",40920052,40931395
"14","ENSMUSG00000029811.15",7.42616487281251,1.84939591725262,0.291245443874626,6.34995656120458,2.1537573533707e-10,2.44251467853333e-07,"ENSMUSG00000029811",76507,"Aoc1","protein_coding","6",48849830,48886122
"15","ENSMUSG00000049620.10",3.92406347431079,2.39843592619187,0.384099634844616,6.2443067074566,4.25683978084659e-10,4.50572301336675e-07,"ENSMUSG00000049620",353130,"Prss33","protein_coding","17",24052321,24055030
"16","ENSMUSG00000029205.13",4.71702641865005,2.24962781385323,0.361516623256984,6.22275068179666,4.88513351961632e-10,4.84757905568427e-07,"ENSMUSG00000029205",231252,"Chrna9","protein_coding","5",66092264,66134669
"17","ENSMUSG00000031074.15",71.5500812252986,-0.644675636360598,0.103895701227807,-6.2050270486846,5.46874959083441e-10,5.10749042668694e-07,"ENSMUSG00000031074",14174,"Fgf3","protein_coding","7",144391820,144398173
"18","ENSMUSG00000026873.10",95.6489709805142,0.734060422098105,0.119742846110465,6.13030712015079,8.77095925504293e-10,7.73647333846204e-07,"ENSMUSG00000026873",74016,"Phf19","protein_coding","2",34783769,34804038
"19","ENSMUSG00000000385.9",28.5627689660058,1.94869501811865,0.326795291801074,5.96304496120112,2.47580261428509e-09,2.06885884773707e-06,"ENSMUSG00000000385",50528,"Tmprss2","protein_coding","16",97365882,97412395
"20","ENSMUSG00000036912.19",13.6238550464423,1.1830245091679,0.206170279624055,5.73809431371536,9.57477946534690e-09,7.60093867856563e-06,"ENSMUSG00000036912",330890,"Piwil4","protein_coding","9",14607526,14652036
"21","ENSMUSG00000020669.16",343.988211648522,0.165554668435596,0.0294619904846304,5.61926284383134,1.91773917466095e-08,1.44990213695676e-05,"ENSMUSG00000020669",24057,"Sh3yl1","protein_coding","12",30961667,31010161
"22","ENSMUSG00000039774.13",86.2595483492444,0.552155592005896,0.0998660185343368,5.52896370666914,3.22127972518146e-08,2.32473900894118e-05,"ENSMUSG00000039774",230145,"Galnt12","protein_coding","4",47091909,47123070
"23","ENSMUSG00000022462.8",8229.09631898263,-0.297786267243498,0.0549279561317753,-5.42139719397335,5.91350022338193e-08,4.08211491507108e-05,"ENSMUSG00000022462",67760,"Slc38a2","protein_coding","15",96585273,96597611
"24","ENSMUSG00000033256.15",839.782466187716,0.132008892015345,0.0244317886301372,5.40316118536278,6.54765719241523e-08,4.33154805183236e-05,"ENSMUSG00000033256",435684,"Shf","protein_coding","2",122179373,122199643
"25","ENSMUSG00000036111.9",262.709680730204,0.208887742992272,0.0388509936070931,5.37663837133201,7.58893810836405e-08,4.81958281385984e-05,"ENSMUSG00000036111",109594,"Lmo1","protein_coding","7",108737779,108774414
"26","ENSMUSG00000028943.19",90.4054081474032,0.418826090425626,0.0787595441335149,5.31778205465007,1.05039779648646e-07,6.41429454415983e-05,"ENSMUSG00000028943",56226,"Espn","protein_coding","4",152204788,152236828
"27","ENSMUSG00000032327.15",315.286305373096,-0.617242144510305,0.11630547979698,-5.30707706625472,1.11397088191847e-07,6.55056136748871e-05,"ENSMUSG00000032327",20897,"Stra6","protein_coding","9",57971071,58061279
"28","ENSMUSG00000058056.17",865.361274885965,-0.173215690364977,0.0329559221885513,-5.25598068152834,1.47237746419462e-07,8.06101275828204e-05,"ENSMUSG00000058056",72333,"Palld","protein_coding","8",61964467,62355724
"29","ENSMUSG00000039994.16",368.604221436875,0.747972236480653,0.142205657789982,5.25979238874802,1.44218138166051e-07,8.06101275828204e-05,"ENSMUSG00000039994",21853,"Timeless","protein_coding","10",128067934,128088810
"30","ENSMUSG00000040254.12",1010.69246277462,-0.247548273091485,0.0479043884220227,-5.16754897089307,2.37183833114205e-07,0.000121476378011427,"ENSMUSG00000040254",108151,"Sema3d","protein_coding","5",12433352,12638915
"31","ENSMUSG00000020100.16",1538.49396529158,-0.191793693195415,0.0370922099979509,-5.17072703961318,2.33184970948223e-07,0.000121476378011427,"ENSMUSG00000020100",71279,"Slc29a3","protein_coding","10",60547851,60588573
"32","ENSMUSG00000095115.3",321.680908163903,-0.284185840617988,0.0551153720423237,-5.15619926142852,2.52012715560961e-07,0.000125037683905043,"ENSMUSG00000095115",319622,"Itpripl2","protein_coding","7",118084334,118091198
"33","ENSMUSG00000064247.15",998.010671838154,0.223130949303912,0.043379567887868,5.143687689114,2.69397246190635e-07,0.000129612729629355,"ENSMUSG00000064247",403178,"Plcxd1","protein_coding","5",110247835,110253819
"34","ENSMUSG00000032193.10",3339.87005169902,-0.176313880605003,0.0344297530601821,-5.12097430082672,3.03961073222734e-07,0.000141940881163451,"ENSMUSG00000032193",16835,"Ldlr","protein_coding","9",21634779,21661215
"35","ENSMUSG00000066952.12",80.9621517510757,0.428427871980608,0.084303626494637,5.081962541764,3.73555088894826e-07,0.000160295517469815,"ENSMUSG00000066952",231646,"Myo1h","protein_coding","5",114427227,114503418
"36","ENSMUSG00000030838.21",72.7486214606792,0.521762472266813,0.102472288874596,5.09174214801955,3.54788386159614e-07,0.000160295517469815,"ENSMUSG00000030838",72088,"Ush1c","protein_coding","7",45844774,45887927
